,count,mean,min,25%,50%,75%,max,std
time,10000,2025-12-06 07:10:30,2025-12-05 22:51:00,2025-12-06 03:00:45,2025-12-06 07:10:30,2025-12-06 11:20:15,2025-12-06 15:30:00,
open_price,10000.0,89543.54722000001,88951.06,89377.2675,89590.505,89662.52500000001,90182.62,206.59389919111806
high_price,10000.0,89559.1462,89014.6,89402.85250000001,89600.025,89675.83,90289.97,206.35767357262068
low_price,10000.0,89527.97423999998,88940.2,89360.45,89575.76999999999,89647.85,90150.01,206.68734215370594
close_price,10000.0,89543.844226,88951.05,89378.905,89590.86499999999,89663.08249999999,90182.62,206.50757100079642
volume_btc,10000.0,5.978263932,0.23988,1.9973999999999998,3.43264,6.681255,145.64562,9.486029640770866
trade_count,10000.0,1760.4633,89.0,880.5,1457.0,2276.75,12003.0,1326.7592697505818
volatility,10000.0,31.171960000000002,0.01,14.8125,25.564999999999998,40.675,314.4,26.685748879837114
momentum,10000.0,0.297006,-133.81,-17.28,0.0,17.865000000000002,214.09,33.01318460996717
pct_change,10000.0,3.3899999999999993e-06,-0.001494,-0.000193,-0.0,0.00019950000000000002,0.002386,0.00036867353568922163
risk,10000.0,8.3718077105,0.002058,3.3461675,6.625831,11.20600375,60.655328,7.393221580060986
